"openSUSE:Factory","4pane","10","bzip2","bzip2-1.0.8"
"openSUSE:Factory","acpica","80","libbpf","v1.6.0-82-gf561c42"
"openSUSE:Factory","acpica","80","xz-embedded","v2024-04-05-4-g39e0401"
"openSUSE:Factory","acpica","80","zlib","v1.2.0"
"openSUSE:Factory","adios2","12","googletest","v1.14.0-105-g31993df"
"openSUSE:Factory","agama","41","curl","curl-8_18_0-13-g13c1a93"
"openSUSE:Factory","agama","41","zlib","v1.3.1"
"openSUSE:Factory","alacritty","45","freetype","VER-2-13-2"
"openSUSE:Factory","alacritty","45","zlib","v1.2.12-37-g19f8551"
"openSUSE:Factory","amp","2","zlib","v1.3.1"
"openSUSE:Factory","android-tools","27","boringssl","fips-20210429-1756-g096ded9"
"openSUSE:Factory","android-tools","27","fmt","10.1.1-118-g6855bd5"
"openSUSE:Factory","android-tools","27","googletest","v1.14.0-105-g31993df"
"openSUSE:Factory","android-tools","27","libusb","v1.0.27-24-g2a138c6"
"openSUSE:Factory","apache-arrow","21","xxHash","v0.7.4-367-gf035303"
"openSUSE:Factory","apfsprogs","8","zlib","v1.2.0"
"openSUSE:Factory","apotris","1","curl","curl-7_53_0-14-g93cce24"
"openSUSE:Factory","apotris","1","flac","1.4.3"
"openSUSE:Factory","apotris","1","lua","v5-3-5"
"openSUSE:Factory","apotris","1","mbedtls","v2.26.0-343-g93c0847"
"openSUSE:Factory","apotris","1","zlib","v1.3.1"
"openSUSE:Factory","ardour","21","lua","v5-3-5"
"openSUSE:Factory","argyllcms","36","libjpeg-turbo","jpeg-8d"
"openSUSE:Factory","arm-trusted-firmware","34","zlib","v1.3"
"openSUSE:Factory","arti","19","xz","v5.8.1-95-g723cee4"
"openSUSE:Factory","arti","19","zstd","v1.4.7-2625-g23e5f80"
"openSUSE:Factory","assimp","35","assimp","v6.0.4-3-g5c5ae38"
"openSUSE:Factory","assimp","35","googletest","v1.14.0-105-g31993df"
"openSUSE:Factory","assimp","35","rapidjson","v1.1.0-748-g3f73eda"
"openSUSE:Factory","assimp","35","zlib","v1.2.13"
"openSUSE:Factory","asymptote","11","googletest","release-1.11.0-136-g2ddfdf8"
"openSUSE:Factory","asymptote","11","rapidjson","v1.1.0-724-g1ce516e"
"openSUSE:Factory","avfs","13","bzip2","bzip2-1.0.8"
"openSUSE:Factory","avfs","13","zlib","v1.1.4"
"openSUSE:Factory","aws-efs-utils","26","boringssl","fips-20210429-1245-gdd68e4b"
"openSUSE:Factory","aws-lc","19","googletest","release-1.10.0-565-gd4144d4"
"openSUSE:Factory","aws-nitro-enclaves-cli","10","boringssl","fips-20210429-1245-gdd68e4b"
"openSUSE:Factory","backhand","6","xz","v5.8.1-95-g723cee4"
"openSUSE:Factory","backhand","6","zlib","v1.3.1-201-g5a82f71"
"openSUSE:Factory","backhand","6","zstd","v1.4.7-2625-g23e5f80"
"openSUSE:Factory","bat","25","zlib","v1.3.1"
"openSUSE:Factory","bazel6","5","zlib","v1.2.13"
"openSUSE:Factory","bcmatroska2","11","bzip2","bzip2-1.0.6"
"openSUSE:Factory","bcmatroska2","11","zlib","v1.2.5"
"openSUSE:Factory","below","5","libbpf","v1.5.0-1-g605f4f0"
"openSUSE:Factory","below","5","zlib","v1.2.13"
"openSUSE:Factory","below","5","zstd","v1.4.7-2625-g23e5f80"
"openSUSE:Factory","binutils","183","zlib","v1.2.12"
"openSUSE:Factory","binwalk","13","bzip2","bzip2-1.0.8"
"openSUSE:Factory","binwalk","13","freetype","VER-2-13-2"
"openSUSE:Factory","binwalk","13","xz","v5.3.1alpha-73-gba76d67"
"openSUSE:Factory","binwalk","13","zlib","v1.2.12-37-g19f8551"
"openSUSE:Factory","biome","15","zlib","v1.3.1"
"openSUSE:Factory","bitcoin","59","leveldb","1.22-50-g657ba51"
"openSUSE:Factory","bitwarden","43","lz4","v1.9.2-585-gae179a9"
"openSUSE:Factory","bitwarden","43","xxHash","v0.6.4-63-gb39d9be"
"openSUSE:Factory","black-hole-solver","4","xxHash","v0.7.4-158-ga9054f3"
"openSUSE:Factory","blender-4.5","5","fmt","9.1.0-156-g6056e07"
"openSUSE:Factory","blender-4.5","5","googletest","v1.14.0-148-gd49a665"
"openSUSE:Factory","blender-5.0","3","fmt","9.1.0-156-g6056e07"
"openSUSE:Factory","blender-5.0","3","googletest","v1.14.0-148-gd49a665"
"openSUSE:Factory","blender-5.1","1","googletest","v1.14.0-148-gd49a665"
"openSUSE:Factory","blobby","4","lua","v5.3.6"
"openSUSE:Factory","blockout","9","libpng","v1.2.12"
"openSUSE:Factory","blockout","9","zlib","v1.2.3"
"openSUSE:Factory","blosc2","16","lz4","v1.9.2-1222-gcc1508f"
"openSUSE:Factory","blosc2","16","xxHash","v0.7.4-367-gf035303"
"openSUSE:Factory","blosc2","16","zstd","v1.4.7-2625-g23e5f80"
"openSUSE:Factory","blosc","26","lz4","v1.9.2-585-gae179a9"
"openSUSE:Factory","blosc","26","zlib","v1.3.1"
"openSUSE:Factory","blosc","26","zstd","v1.4.7-2163-g01cea2e"
"openSUSE:Factory","boinc-client","67","libjpeg-turbo","jpeg-6bl-1-g217d1a7"
"openSUSE:Factory","boost","177","bzip2","bzip2-1.0.8"
"openSUSE:Factory","boost","177","minizip-ng","0^20181101.252588f6a78bd7656f4e03d1b236695b3182ff7d"
"openSUSE:Factory","boost","177","zlib","v1.3.1"
"openSUSE:Factory","boringssl","14","boringssl","fips-android-20191020-327-g3743aaf"
"openSUSE:Factory","boringssl","14","googletest","release-1.10.0-565-gd4144d4"
